AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
TSLA
BRK-B
LLY
V
JPM
XOM
UNH
WMT
AVGO
MA
PG
JNJ
HD
CVX
MRK
COST
ABBV
PEP
ADBE
KO
CRM
BAC
CSCO
MCD
TMO
ACN
PFE
NFLX
LIN
ORCL
AMD
DHR
INTC
WFC
ABT
DIS
VZ
PM
TXN
CAT
UPS
LOW
IBM
CMCSA
QCOM
UNP
NOW
HON
AMGN
SBUX
RTX
GE
COP
GS
NEE
BLK
ELV
MDT
BMY
SPGI
DE
ISRG
SCHW
LMT
PLD
TGT
TJX
C
AXP
CI
SYK
AMT
GILD
MDLZ
MMC
CVS
USB
ADP
CB
REGN
ADI
SO
MO
PGR
DUK
ZTS
EOG
BDX
SLB
VRTX
FIS
ETN
BSX
FI
