SHEL
AZN
HSBA
ULVR
BP
GSK
RIO
DGE
BATS
REL
GLEN
BHP
AAL
LLOY
NG
CRH
PRU
CPG
SSE
BARC
TSCO
BA.
AV.
RIO
IMB
VOD
NWG
SBRY
STAN
ABF
FERG
LSEG
EXPN
BDEV
MNG
DCC
NXT
RS1
SMT
HLN
WPP
SGE
ENT
III
PSN
ADM
CNA
AVV
SPX
INF
LAND
SKG
RTO
KGF
SMDS
PHNX
JD.
ITRK
HLMA
BRBY
SMIN
MRO
AUTO
SDR
FLTR
BLND
BME
WTB
TW.
STJ
CRDA
BKG
CCH
SVT
CTEC
DPH
HL.
FRES
AHT
RKT
WEIR
PSH
MNDI
ABDN
ITV
GSK
